strain	Size_Factor	umap_1	umap_2	louvain_component	Cluster	strain.sys
681	ELG1	0.995976811983993	13.9826655107655	14.7718053389537	1	2	YOR144C
682	DDI1	0.997327985292761	14.3679392170757	14.4574550475671	1	28	YER143W
683	RTS1	1.00205852624002	14.3204183485492	14.4560572757939	1	1	YOR014W
684	SIR4	0.998108280706741	14.221498918057	14.8711430335975	1	27	YDR227W
685	IDP3	0.994551051613595	14.130440919506	14.6425999845768	1	1	YNL009W
686	SIS2	0.998442488117508	14.0499411198053	14.235103156103	1	6	YKR072C
687	YPL247C	0.998628955771585	14.2691013708473	14.6402143068018	1	12	YPL247C
688	YME2	0.993090866445522	13.9688519906726	14.6386525390744	1	2	YMR302C
689	DUS3	0.99334188059524	14.3043137100287	14.640993122099	1	12	YLR401C
690	YLL032C	0.995212294602281	14.1065749883498	14.6856723801026	1	2	YLL032C
691	PMS1	0.993403558357742	15.0347562202623	7.11869864990455	1	13	YNL082W
692	CRF1	0.996349747292146	13.8817496912044	14.6147234856107	1	5	YDR223W
693	CRN1	0.995490561716825	13.9041292228544	14.4958126007806	1	3	YLR429W
694	BUB2	0.992898661325166	14.274514933561	14.4887336351565	1	1	YMR055C
695	GGA2	0.99545613691915	14.0317347472334	14.6242814213601	1	2	YHR108W
696	CLN3	1.00040326721845	13.9733930837395	14.7903672483365	1	2	YAL040C
697	HOS3	1.00021679956437	13.8985564839466	14.4650916987267	1	3	YPL116W
698	PGM2	1.00417708566364	14.1297324561563	14.6670391465459	1	2	YMR105C
699	UFD4	1.00547375304275	14.1966207752425	14.3610517800263	1	1	YKL010C
700	UBI4	0.99866911803554	14.1898954620946	14.3375927462488	1	4	YLL039C
701	SPT20	1.00350293337582	14.2616063130665	13.9694854322857	1	16	YOL148C
702	AIR1	0.996058570878473	13.8890636563287	14.4624500979011	1	3	YIL079C
703	DAK1	0.999756367895461	13.8817624232314	14.5576442055645	1	5	YML070W
704	MGA2	1.01553726889659	14.3931651169518	14.2363767104563	1	32	YIR033W
705	PUF4	1.00001168514489	14.2031753178808	14.6716120851945	1	2	YGL014W
706	LCL3	0.996354050391855	14.0519417080642	14.5596128189564	1	1	YGL085W
707	DEP1	1.02195175619681	14.7612035217924	14.4214477168983	1	29	YAL013W
708	LTP1	0.998855585689616	13.8968298204385	14.4981246375871	1	3	YPR073C
709	STE50	0.990804486133234	14.2163604746913	14.8651105144078	1	27	YCL032W
710	SRB8	1.01744641080101	14.0429140270422	14.1850663935387	1	34	YCR081W
711	YGR203W	0.998088199574764	14.0030607544608	14.3836495868162	1	40	YGR203W
712	COS111	1.00169276276471	14.0323619191507	14.4237260774418	1	3	YBR203W
713	VPS25	1.00349145844326	14.5401757818189	14.3025224762164	1	36	YJR102C
714	SLI1	0.998340648091051	14.3838476727468	14.8054229374571	1	11	YGR212W
715	YNR047W	0.996539083679362	14.3502224412329	14.5152776876802	1	1	YNR047W
716	SIT4	1.02023625377931	14.1035268883447	7.08178946560156	1	19	YDL047W
717	SNL1	0.992518554184165	14.2076023708751	14.6949044338813	1	7	YIL016W
718	YJR030C	1.00001025077832	14.2684685136042	14.4282629402902	1	1	YJR030C
719	GEP3	1.01961947615428	14.0358725183097	14.248022864114	1	6	YOR205C
720	UBC12	0.999255773962595	14.0376297064258	14.5168584448484	1	3	YLR306W
721	SUT2	1.00021106209809	14.3097604939207	14.5687462848545	1	9	YPR009W
722	INO1	0.997580433809049	13.8914900124644	14.4677961839747	1	3	YJL153C
723	ASM4	0.993670350539728	14.3228138313294	14.614197821485	1	12	YDL088C
724	RAD34	0.994053326413869	14.162371736464	14.6796146244013	1	2	YDR314C
725	SNT2	0.997670798902947	0.00211159271017298	14.3395435906542	1	26	YGL131C
726	SWE1	0.998829767091359	14.1856948964492	14.3405569400241	1	4	YJL187C
727	PLC1	1.03008604901424	14.3398918338289	14.1659475226185	1	8	YPL268W
728	RAD6	1.01351768076628	14.3072130956148	13.8599914741962	1	30	YGL058W
729	RSA1	1.00998913900453	14.0309808678592	14.0232667592261	1	14	YPL193W
730	DHH1	1.00065571573474	14.1222631158288	14.0022509546228	1	18	YDL160C
731	LEA1	0.992895792592027	14.175326858334	13.9382775224431	1	31	YPL213W
732	YAP1	0.997372450656425	14.3055051009196	14.5635102878915	1	9	YML007W
733	KSS1	1.0074388352434	14.0781884325925	14.3853205748563	1	3	YGR040W
734	SSB2	1.00718782109368	14.1943400979044	14.4349953796498	1	1	YNL209W
735	SNF12	0.998245979897444	14.267243218908	13.9688855635073	1	16	YNR023W
736	MVB12	0.994004557950495	14.3660303025138	14.4780230941386	1	1	YGR206W
737	JEM1	0.997669364536377	14.0610827397444	14.5498571282472	1	1	YJL073W
738	PFK27	1.01553726889659	14.0305328253996	14.2563120445844	1	6	YOL136C
739	FAB1	0.99678722909594	14.4132113469314	14.2708405595257	1	10	YFR019W
740	DBR1	0.997120002140137	14.3234560798645	14.572755456382	1	9	YKL149C
741	TUL1	1.00153498244203	14.0369396596209	14.509665914922	1	3	YKL034W
742	KAR4	0.994526667381909	14.110762160027	14.5114818267329	1	1	YCL055W
743	BOL3	0.996577811576747	13.8558249881843	14.4947953625055	1	3	YAL046C
744	YJL049W	0.999800833259125	14.1238711832465	14.6769798084739	1	2	YJL049W
745	POL4	0.993207050137677	13.9580204385129	14.6283669229924	1	2	YCR014C
746	SAE2	0.994387533824636	14.3853810597415	14.7966473335681	1	11	YGL175C
747	SAM1	1.00792651987714	14.3637978434615	14.7157057733857	1	11	YLR180W
748	FPR3	0.997187417368919	14.3458587380884	14.5384261468795	1	9	YML074C
749	MMS2	0.991477204054478	14.04128252923	14.5048352328842	1	3	YGL087C
750	MIP6	1.00031290212455	14.2627314477715	14.4549871649584	1	1	YHR015W
751	YBR141C	1.00001025077832	14.2151006969911	14.4379254627632	1	1	YBR141C
752	VPS75	0.995655513872354	14.1916268419344	14.7059759811294	1	7	YNL246W
753	YOR051C	0.996533346213082	14.0840448805709	14.5808150466536	1	1	YOR051C
754	MED2	1.00445678714475	14.2820138802469	13.9769470516887	1	41	YDL005C
755	YBR028C	1.00131122125714	14.3538870723197	14.1491755231653	1	8	YBR028C
756	MSS11	0.995196516570013	14.3228968842755	14.4288038290656	1	1	YMR164C
757	HTA2	0.990278073602111	14.3830722498987	14.8037004834819	1	11	YBL003C
758	HSP12	0.996249341632259	14.2030138145492	14.3129986900182	1	4	YFL014W
759	PDR1	0.99278964946586	13.9854667170128	14.5795336524332	1	2	YGL013C
760	SWR1	0.996511830714535	13.9191567277561	14.119569588812	1	24	YDR334W
761	CLB5	0.99428282506504	14.002530306775	14.7117602309646	1	2	YPR120C
762	NRG2	0.992964642187378	14.2137689331757	14.6902227713761	1	7	YBR066C
763	ATG7	0.998854151323046	14.1903988581016	14.6412119764375	1	2	YHR171W
764	DYN1	0.992210165371654	14.1976456982421	14.7055269367078	1	7	YKR054C
765	RAD27	1.00040900468473	13.983875492898	14.7750073144512	1	2	YKL113C
766	BFA1	0.995948124652597	14.1060074667805	14.7103704024868	1	2	YJR053W
767	UPC2	0.997452775184335	14.360805289639	14.139747607165	1	8	YDR213W
768	BRR1	0.990889113760853	14.173320307432	13.9398148707427	1	31	YPR057W
769	YPT7	0.991082753247778	14.4015679237814	14.4966160733908	1	1	YML001W
770	TPK3	0.997049718178216	14.2130956768283	14.4086873091954	1	1	YKL166C
771	UBP10	0.996055702145333	14.0301789266347	14.245137441352	1	6	YNL186W
772	CIN5	0.998413800786112	14.2353718215234	14.7064871239181	1	21	YOR028C
773	RAD14	0.997028202679669	14.14345159273	14.7160800184417	1	37	YMR201C
774	CUP9	0.997752557797427	14.1164342418422	14.5924527191886	1	1	YPL177C
775	YPR174C	0.993539823181875	14.3397629414486	14.4843857151746	1	1	YPR174C
776	HMT1	0.994619901208947	14.3613602239811	14.5574432650122	1	9	YBR034C
777	RPO41	0.991075581414929	14.1584237634771	14.7345113185341	1	7	YFL036W
778	PAT1	1.00312999806767	14.1230217057168	13.9953167084986	1	18	YCR077C
779	MSC6	0.993941445821423	14.1955618036378	14.4362274178729	1	1	YOR354C
780	PPH22	0.994018901616193	14.3516206887764	14.4605094101574	1	28	YDL188C
781	NEM1	0.991492982086746	14.10887528087	14.3355711154968	1	4	YHR004C
782	NPT1	1.01963955728626	14.2210887626861	14.0825602496892	1	25	YOR209C
783	VID24	0.993713381536822	14.3591099131996	14.5152942775838	1	1	YBR105C
784	NDJ1	0.995896487456084	14.2183872975453	14.4392076844102	1	1	YOL104C
785	ASR1	0.994506586249931	14.3628224522873	14.5088345166637	1	1	YPR093C
786	CUP2	0.998693502267226	14.2218380388533	14.4446811114391	1	1	YGL166W
787	GAT3	0.999866814121337	14.0608333766353	14.5129372701409	1	3	YLR013W
788	YKR059W	1.0003487612888	13.8221882140692	14.5509370440879	1	5	YKR059W
789	ARO3	0.995952427752307	13.9724594052093	14.5660655467503	1	2	YDR035W
790	NGL3	0.999620103071328	14.3491759947985	14.414485873511	1	1	YML118W
791	PEP5	1.00737428874776	14.4203802124567	14.256632113883	1	10	YMR231W
792	TOF1	0.994508020616501	14.0079876946562	14.7593320482846	1	2	YNL273W
793	RTT106	1.01015552552663	14.2092119121465	14.0996281989554	1	22	YNL206C
794	EFG1	0.997475725049452	13.9652450777632	13.9675884016385	1	15	YGR271C-A
795	ATG20	0.995002877083088	14.0115864031136	14.5951779728445	1	2	YDL113C
796	LEM3	0.995361468725542	14.3037423926397	14.6363421157497	1	12	YNL323W
797	CMK2	1.00548235924217	14.2579589545101	14.3664885520564	1	20	YOL016C
798	PIH1	0.995205122769432	14.0157189077489	14.0026747470185	1	14	YHR034C
799	TBS1	0.98856400555118	14.2695022797258	14.6337498295501	1	12	YBR150C
800	YPR196W	0.999981563446922	14.1678211060642	14.5143688009198	1	1	YPR196W
801	BCY1	1.03949836244538	14.2192778568062	14.1877243153541	1	4	YIL033C
802	HDA3	1.01090856797579	14.2052402747586	14.161100012792	1	44	YPR179C
803	GLG1	0.999283026927421	14.2662406053983	14.4561314959608	1	1	YKR058W
804	MGT1	0.99467297277203	14.3958748149874	14.495393219603	1	1	YDL200C
805	LEE1	0.992068163081243	14.0667472816347	14.700052392653	1	2	YPL054W
806	UGA3	0.994806368863023	14.041906514262	14.647965432433	1	2	YDL170W
807	CST6	1.03077454496775	14.3859261063356	14.1951846522458	1	32	YIL036W
808	RNP1	0.993921364689446	13.8864525461737	14.6370327273702	1	2	YLL046C
809	SRB5	1.00450555560812	14.2744577790678	13.9385471911183	1	16	YGR104C
810	YVH1	1.01985184353859	14.0195856726925	14.0107772600455	1	14	YIR026C
811	URN1	1.00469489199534	13.917893050808	14.0149777507053	1	33	YPR152C
812	SWC5	0.986643388714195	13.9191324117566	14.1195864114293	1	24	YBR231C
813	ITC1	1.00107168203998	14.000669165757	14.7068458547251	1	2	YGL133W
814	TGS1	0.99020922400676	14.1720438053714	13.9407332935948	1	31	YPL157W
815	BAS1	0.996425768720346	14.2569419851487	14.4420990025869	1	1	YKR099W
816	HMS1	0.996655267371517	13.8965073722884	14.4938530890814	1	3	YOR032C
817	FOB1	0.996292372629353	14.1526141530163	14.7159818856457	1	37	YDR110W
818	JSN1	0.996910584620944	14.353961954428	14.420414054205	1	1	YJR091C
819	YLR352W	0.998723623965193	14.0429774431508	14.4431792493983	1	3	YLR352W
820	DON1	0.996322494327319	14.3859614788232	14.7775668759284	1	11	YDR273W
821	PUS7	0.999567031508245	13.9521121988002	14.5348754524369	1	2	YOR243C
822	IOC3	1.00086083015422	14.3001416388872	14.4697650455945	1	1	YFR013W
823	EAF1	1.00798819763964	13.9489242585265	14.1268679879732	1	24	YDR359C
824	PUS1	1.00256485763916	14.2339217150171	14.1965627829799	1	4	YPL212C
825	SWD3	1.01682533007628	14.3094021975127	13.8557864921613	1	30	YBR175W
826	SAP4	0.998241676797734	14.0104811887042	14.4206125952203	1	3	YGL229C
827	PKH3	0.998478347281754	14.1028186628803	14.4964747075543	1	1	YDR466W
828	HHT2	0.998628955771585	13.8266991991503	14.549878393111	1	5	YNL031C
829	RGS2	1.00023688069635	14.1304251880575	14.6491443498677	1	1	YOR107W
830	PML1	0.998851282589906	14.327520626918	14.4792792104761	1	1	YLR016C
831	PEP3	1.01009384776413	14.4185869721349	14.2513644885378	1	10	YLR148W
832	STE7	0.997428390952648	14.2022552298326	14.851277182619	1	27	YDL159W
833	HHF1	1.00266669766562	14.2099282153633	14.1013668446351	1	22	YBR009C
834	ELP3	1.00816319036116	14.1021632427478	7.08315505047964	1	19	YPL086C
835	YPR022C	0.997652152137539	13.880270728195	14.5903115459771	1	5	YPR022C
836	DMA1	1.00448977757586	0.0019937671608279	14.339428350813	1	26	YHR115C
837	YDL089W	0.995008614549367	14.0821978549337	14.5600114730974	1	1	YDL089W
838	PPG1	0.995523552147931	14.1589682412154	14.6176854246486	1	2	YNR032W
839	YAK1	1.00053809767601	14.0215659553852	14.3888609264663	1	3	YJL141C
840	UBP15	1.01405700259653	14.3645326603487	14.7405353979723	1	11	YMR304W
841	BUD21	0.996714076400879	13.9652203325361	13.9669558133091	1	15	YOR078W
842	GSM1	0.996742763732276	14.21499323496	14.443990292962	1	1	YJL103C
843	VPS9	1.00322323189471	14.4265530631995	14.2688003530464	1	10	YML097C
844	YAT1	1.0002297088635	13.8911327399967	14.4783241533109	1	3	YAR035W
845	FLO11	0.999337532857074	14.1318933531496	14.6353444047427	1	1	YIR019C
846	STB6	0.996186229503187	14.1717907576282	14.5257556390778	1	1	YKL072W
847	RNH1	0.993899849190899	14.1156870911271	14.4769172798449	1	1	YMR234W
848	YOL138C	1.00880435221787	14.0770445644319	14.3193929187507	1	4	YOL138C
849	SFB2	0.996761410497683	14.3035900220294	14.4692795116594	1	1	YNL049C
850	KTI12	0.99435741212667	14.1028226552136	7.0825037002518	1	19	YKL110C
851	RNH70	0.998604571539898	13.828543181409	14.5692663224793	1	5	YGR276C
852	PCL5	0.995081767244428	14.3271198628391	14.6114328099805	1	12	YHR071W
853	GPT2	0.998289010894538	14.2286832357742	14.4452834366403	1	1	YKR067W
854	UBP9	0.993301718331285	14.0227085953345	14.5879714180371	1	2	YER098W
855	VIK1	0.992882883292899	13.8918457024786	14.4764445710223	1	3	YPL253C
856	EXO1	1.00639605074714	15.0391194062651	7.11435035758068	1	13	YOR033C
857	KAP122	0.992207296638515	14.3042722766412	14.4313663279072	1	1	YGL016W
858	MED1	1.00261936356881	14.0420381655928	14.1831046995018	1	34	YPR070W
859	CPT1	0.993449458087976	14.3594251006813	14.135052147321	1	8	YNL130C
860	LAP3	0.999496747546324	14.1822241210744	14.6699317058624	1	2	YNL239W
861	CTF8	1.00353448944036	13.970843839238	14.7820995189011	1	2	YHR191C
862	OPY2	0.993947183287703	14.2628879968862	14.6871188873032	1	21	YPR075C
863	SKM1	1.00005328177541	14.0829779553279	14.3380936496332	1	4	YOL113W
864	TMA22	0.997276348096247	14.0955981917915	13.9825314831688	1	18	YJR014W
865	CAF130	0.992227377770492	13.9955149185432	14.441418733799	1	3	YGR134W
866	RAD52	1.00069444363212	13.9845018858707	14.7594756068016	1	2	YML032C
867	TDP1	1.00290767124935	14.3829379171885	14.8041149414712	1	11	YBR223C
868	IES2	1.00157514470599	13.9171298014739	14.0161584212502	1	33	YNL215W
869	USA1	0.993425073856289	13.9850181742186	14.5028240070219	1	3	YML029W
870	RRM3	0.999237127197187	13.9732979038222	14.7777919359664	1	2	YHR031C
871	RAS1	1.00483115681947	14.142166216519	14.65665328773	1	2	YOR101W
872	CNA1	1.00274271909382	14.100719652226	14.3800971340921	1	4	YLR433C
873	EAF7	0.995760222631951	13.9539762668398	14.1354122537247	1	24	YNL136W
874	FLC2	0.994878087191514	13.9080143114189	14.5704216582556	1	5	YAL053W
875	GPB2	1.00965636596034	14.2087480981599	14.2829716679199	1	4	YAL056W
876	BUD6	0.994816409429012	13.8877019086415	14.6271883365283	1	5	YLR319C
877	RRI2	0.991999313485891	14.3617086946981	14.5049643941781	1	1	YOL117W
878	VPS1	1.00778164885359	14.1863705626766	14.1221605304433	1	22	YKR001C
879	AIF1	0.995991155649692	13.8906026077674	14.6418509980089	1	2	YNR074C
880	RKM4	0.995152051206349	14.2907070310742	14.5308064165941	1	1	YDR257C
881	PIP2	0.998048037310809	14.2270308855186	14.6978755987259	1	35	YOR363C
882	FZF1	1.00073890899579	14.1810898743338	14.5056386227517	1	1	YGL254W
883	APC9	0.994901037056631	14.1706270027861	14.603494644564	1	2	YLR102C
884	RAM1	1.01229129734909	14.0653396298706	14.1994419483282	1	6	YDL090C
885	CUE2	0.99044302575764	14.3629799322569	14.4865011140472	1	1	YKL090W
886	ERF2	0.995331347027576	14.1625369632153	14.5855668749355	1	2	YLR246W
887	DEG1	1.00865374372803	14.2634013737268	14.210146500846	1	4	YFL001W
888	SIF2	0.99717737680293	14.3234739522793	13.8976117902996	1	42	YBR103W
889	GAL11	1.0287477850046	14.2816453030632	13.9797797880613	1	41	YOL051W
890	NPL6	1.02664643797982	13.9924878248311	14.0861329640225	1	38	YMR091C
891	SRL3	0.99412504474236	14.1117104478082	14.6292952129068	1	1	YKR091W
892	BMH2	0.996681085969773	14.3623478403834	14.1378697521295	1	8	YDR099W
893	DNL4	0.997094183541881	14.152907341293	14.720563801873	1	37	YOR005C
894	RTR1	0.992491301219338	14.2771605060343	13.9323049503114	1	16	YER139C
895	MFB1	0.99271075930452	14.0183619074426	14.4315760391816	1	3	YDR219C
896	LHP1	0.992961773454238	14.1613831788638	14.7346988961467	1	7	YDL051W
897	NAS6	0.996824522626755	13.9811072234012	14.5012418845998	1	3	YGR232W
898	TRE1	0.994333027894983	14.3496290522391	14.511671472912	1	1	YPL176C
899	SRL4	1.01148518333685	14.1888346598085	14.4399010679099	1	1	YPL033C
900	PTC3	0.996230694866851	14.2829017503713	14.4042233426314	1	50	YBL056W
901	DIG2	0.993476711052803	13.9393600653634	14.6810866163415	1	2	YDR480W
902	AHC1	0.99725339823113	14.1968213124244	14.4431786701997	1	1	YOR023C
903	NRM1	0.99537581239124	14.1628963559636	14.6133392422626	1	2	YNR009W
904	SIM1	0.995225203901409	13.8232876364923	14.5781969861151	1	5	YIL123W
905	OCA1	1.00154215427488	14.1801036852423	14.51315645545	1	1	YNL099C
906	SIN4	1.00142597058273	14.2821773176881	13.972240788756	1	41	YNL236W
907	RDR1	0.997606252407305	14.1146691650537	14.5953721284987	1	1	YOR380W
908	RSF1	0.992081072380371	14.1235085635344	14.7200100879852	1	2	YMR030W
909	RNR4	1.01300274316772	13.9750155432089	14.7920232599549	1	2	YGR180C
910	YKU70	0.99506168611245	14.0642031775209	14.5629152854158	1	1	YMR284W
911	SPT7	0.991660802975415	14.2626241305401	13.9682720990754	1	16	YBR081C
912	RPD3	1.02945636209009	14.7613461701401	14.4212602633997	1	29	YNL330C
913	YHP1	0.993647400674611	14.1562593602635	14.6389401111929	1	2	YDR451C
914	SWI4	1.0036750573642	13.9789614424578	14.7838680605385	1	2	YER111C
915	DMC1	1.00176878419291	14.2402696078594	14.5068403771609	1	1	YER179W
916	KIP1	0.990458803789908	13.9604181501736	14.5605677106363	1	2	YBL063W
917	MIP1	0.990087302848326	14.0981529283372	14.2796536665259	1	6	YOR330C
918	NCL1	0.9922460245359	14.3622576922542	14.1378025650887	1	8	YBL024W
919	OAF3	0.999188358733813	14.0628987885978	14.6422188305086	1	2	YKR064W
920	NTC20	0.995354296892693	13.8258051026406	14.5721965710779	1	5	YBR188C
921	MF(ALPHA)1	0.996922059553503	13.8295177658422	14.5315359172653	1	3	YPL187W
922	NBP2	1.00531310398693	14.3963301892225	14.2951957997508	1	10	YDR162C
923	MSH5	0.999546950376267	14.380446970063	14.8048611975312	1	11	YDL154W
924	RDH54	0.991924726424261	14.2238647789646	14.6750490498495	1	7	YBR073W
925	YOR251C	0.995524986514501	14.1036960815723	7.08164714822454	1	19	YOR251C
926	THR1	1.01696876673326	14.2772259141078	14.2169719429565	1	4	YHR025W
927	PPR1	0.994935461854306	14.0614803130593	14.2602856574533	1	6	YLR014C
928	UBP8	1.00295357097958	14.2210077576209	14.0229901117245	1	25	YMR223W
929	HOS1	0.992660556474577	13.8794893582181	14.4594466220474	1	3	YPR068C
930	YIM1	0.993739200135079	14.0147352526514	14.6453706225823	1	2	YMR152W
931	RTT107	0.99443773665458	13.9922102335461	14.7547466154942	1	2	YHR154W
932	JHD1	0.999800833259125	14.0874905228625	14.397351606002	1	3	YER051W
933	GEA1	1.00022540576379	14.3985886087848	14.449274735753	1	49	YJR031C
934	CTR9	1.01996946159732	14.307937404184	13.873148870844	1	45	YOL145C
935	VPS28	1.0047207105936	14.540429512189	14.3025246895826	1	36	YPL065W
936	NTG1	0.999110902939043	13.8291269515684	14.5559712317006	1	5	YAL015C
937	YMR310C	0.997822841759348	13.9908897279041	14.4917852672389	1	3	YMR310C
938	PHO4	0.999007628546016	14.1746577494625	14.514450302441	1	1	YFR034C
939	MAK31	0.996579245943316	14.2690748311388	14.5287551846551	1	1	YCR020C-A
940	MMT1	0.999618668704758	14.2105633480295	14.4508034477874	1	1	YMR177W
941	LIN1	1.00075899012776	14.2201836614025	14.6046478704025	1	1	YHR156C
942	CSM1	1.00674460182361	13.9457956757692	14.7673441856401	1	2	YCR086W
943	GAL4	0.998941647683805	14.1806765333704	14.5212873285241	1	1	YPL248C
944	LEU3	0.995041604980473	13.9800928500908	14.6348471213497	1	2	YLR451W
945	RAD55	0.998456831783207	13.9734816339011	14.7839728127474	1	2	YDR076W
946	EDC1	1.00131839308999	15.0291279817145	7.12442179428453	1	13	YGL222C
947	CSR2	1.00094832651498	14.3526323005505	14.4301962225658	1	1	YPR030W
948	YPK2	0.99631962559418	14.1105371310174	14.371258128639	1	4	YMR104C
949	PIF1	0.999947138649246	14.0681161270907	14.2664450004567	1	6	YML061C
950	CTL1	0.993435114422278	14.2374708994061	14.7014764765924	1	21	YMR180C
951	YNL155W	0.992058122515254	14.3625973922492	14.1386450818921	1	8	YNL155W
952	SNF5	1.00514097999855	14.2705564419133	13.9696176395438	1	16	YBR289W
953	EAF6	0.991779855400709	13.8926788176471	14.5662678525565	1	5	YJR082C
954	PEP4	0.997854397823884	14.2376442659667	14.5049410607477	1	1	YPL154C
955	SAS4	0.98660896391652	13.987050654602	14.5495771684535	1	3	YDR181C
956	OAF1	0.991427001224534	14.2540717042936	14.6921893989441	1	21	YAL051W
957	KCC4	1.0052858510221	14.0684672507444	14.3863436051176	1	3	YCL024W
958	YPL216W	0.992654819008298	14.1884253008358	14.6968644006651	1	7	YPL216W
959	RPB9	1.00621818929249	14.2739152147536	13.9478649869796	1	16	YGL070C
960	HOS2	0.992736577902777	14.3187284744967	13.8932759817748	1	42	YGL194C
961	RED1	0.989573799616331	13.9187044563708	14.6191669319948	1	2	YLR263W
962	GDB1	0.99466866967232	14.0731276458	14.4663572890989	1	3	YPR184W
963	IMH1	0.996823088260185	13.9883089222487	14.393570183649	1	40	YLR309C
964	ELP6	1.01220666972147	14.1037319608587	7.08165906316773	1	19	YMR312W
965	IPK1	1.01260829236102	14.0709266858445	14.1974183834666	1	6	YDR315C
966	OPI3	1.05037803287744	14.3944340170304	14.2348316981177	1	32	YJR073C
967	NOP16	0.99733659149218	14.0176905128051	14.0076414192054	1	14	YER002W
968	YLL054C	1.00274128472725	14.1842685164009	14.4377669691959	1	1	YLL054C
969	RNH203	0.996770016697102	13.8514432885111	14.5622840416546	1	5	YLR154C
970	HRK1	0.99983812678994	14.1057428609218	14.3527805340278	1	4	YOR267C
971	YMR315W	0.99882546399165	14.2728307480665	14.531771692478	1	1	YMR315W
972	RDS2	0.996232129233421	13.9005280553886	14.4673791609629	1	3	YPL133C
973	RBG2	0.998957425716073	14.3771473375397	14.4337709537515	1	1	YGR173W
974	CHL1	0.994697357003717	13.9505719234789	14.7701558640055	1	2	YPL008W
975	DBP1	0.995097545276696	13.9143964080087	14.6219463407224	1	2	YPL119C
976	GIS4	1.00114053163533	14.0326051256886	14.3424850508834	1	3	YML006C
977	VAC8	1.00901233537049	14.2288437565367	14.1974890146706	1	4	YEL013W
978	SBP1	0.995938084086608	15.0343198354679	7.11915605133487	1	13	YHL034C
979	GIN4	0.998376507255297	14.1648208364886	14.333435341244	1	4	YDR507C
980	IRE1	1.01011392889611	14.0774516350529	14.4114671730076	1	3	YHR079C
981	IME4	0.999033447144273	14.1036946956328	14.4614814295681	1	1	YGL192W
982	SEH1	1.01158128589703	14.4174000700334	14.3191545785155	1	46	YGL100W
983	YKL171W	1.00135998972052	14.0490792257049	14.3900900273249	1	3	YKL171W
984	YUH1	0.995787475596778	14.0476860526137	14.4442740175467	1	3	YJR099W
985	VPS24	0.992509947984746	14.4343391889763	14.2628950713837	1	10	YKL041W
986	SGS1	0.997404006720961	13.9469784303949	14.7470246566511	1	2	YMR190C
987	ROX1	1.00571329225991	14.2910161162846	14.5584642267069	1	9	YPR065W
988	RSC2	1.00524282002501	13.9947386734399	14.1119452456232	1	38	YLR357W
989	AMA1	0.995992590016261	14.1945940041027	14.6412033712008	1	2	YGR225W
990	ZAP1	1.00550530910729	14.3635670328085	14.1343402811794	1	8	YJL056C
991	HIR1	1.00249457367724	14.169829456619	14.511672589938	1	1	YBL008W
992	SPO13	0.995304094062749	13.8799818839081	14.6223402371603	1	5	YHR014W
993	PRM3	0.993899849190899	14.0732144402658	14.5624204429314	1	1	YPL192C
994	YGK3	1.00328921275692	14.2056750770996	14.3951547883509	1	1	YOL128C
995	HST4	0.990570684382354	13.945816764805	14.5561246365942	1	2	YDR191W
996	HSL1	0.996985171682575	14.0941286252456	14.4943835936528	1	1	YKL101W
997	NUP188	0.992895792592027	14.2936745552416	14.3886609788258	1	1	YML103C
998	YEL043W	0.99843388191809	14.3593121362633	14.5644033708036	1	9	YEL043W
999	NNF2	0.998005006313714	14.3635403896716	14.5667049406636	1	9	YGR089W
1000	HMG1	0.996280897696795	13.8303343738499	14.5889306123354	1	5	YML075C
1001	BNA5	0.999380563854169	14.3235487309593	14.564029787689	1	9	YLR231C
1002	MKK2	0.99937339202132	14.1175401337072	14.3614140687678	1	4	YPL140C
1003	FYV6	0.994080579378696	14.1673123214413	14.7329142196904	1	7	YNL133C
1004	DAS1	0.993592894744958	14.3668476965767	14.4513124806382	1	28	YJL149W
1005	YHR192W	0.997035374512518	14.0435521930673	14.6460900286488	1	2	YHR192W
1006	IRC5	0.992253196368749	13.8770667461879	14.6344940997863	1	5	YFR038W
1007	YNR063W	0.994912511989189	14.1430364727995	14.6798065046323	1	2	YNR063W
1008	PSO2	0.999316017358527	13.8212878911742	14.5425788355526	1	5	YMR137C
1009	NOP6	0.995463308751999	14.337579507423	14.432923131075	1	1	YDL213C
1010	TUB3	1.00163825683506	14.0679674669716	14.1971969951341	1	6	YML124C
1011	SKO1	1.00419142932933	14.2339810828764	14.2037637836862	1	4	YNL167C
1012	ESC8	1.00199254537781	14.1699024459889	14.5900559125258	1	2	YOL017W
1013	KIN1	0.996851775591582	14.373250282318	14.5078980765972	1	1	YDR122W
1014	PEX2	0.999126680971311	14.1704938698445	14.3151249074937	1	4	YJL210W
1015	RAD7	0.994790590830755	14.1730731447606	14.6190958146776	1	2	YJR052W
1016	PES4	0.992643344075739	13.9952359102901	14.5880742257935	1	2	YFR023W
1017	CLB2	0.992822639896966	14.0058651928434	14.7111469423608	1	2	YPR119W
1018	ATG12	1.0001823747667	14.1494822915812	14.6528139455143	1	2	YBR217W
1019	SLX9	1.00169132839814	13.9745843918878	13.9703054534281	1	15	YGR081C
1020	SNF8	1.00810294696522	14.539735714976	14.302210060614	1	36	YPL002C
1021	CHD1	1.00734416704979	14.1979482571251	14.1045730865511	1	22	YER164W
