strain	Size_Factor	umap_1	umap_2	louvain_component	Cluster	strain.sys
137	ATG21	0.994571132745573	13.8867581872208	14.4510720718365	1	3	YPL100W
138	SEM1	1.00141162691703	14.1246172376214	14.1617766822741	1	4	YDR363W-A
139	YOR052C	0.995659816972064	14.3600928132703	14.1439345099285	1	8	YOR052C
140	YIL014C-A	1.00299373324354	14.3110110044429	14.5692845258647	1	9	YIL014C-A
141	CKA1	1.00357465170431	14.1387365021897	14.3903885214747	1	4	YIL035C
142	KIP2	0.992225943403922	14.117644213632	14.7136950439794	1	2	YPL155C
143	SWC7	0.993604369677516	14.0881682524849	14.5915555405148	1	1	YLR385C
144	UBX4	0.989919481959657	14.1942665603644	14.7004361117436	1	7	YMR067C
145	MAG2	0.99968464956697	0.00164558604310032	14.3390784941564	1	26	YLR427W
146	NMD2	1.09792728466686	14.0834640943187	13.9611143831237	1	18	YHR077C
147	PEX5	1.00166550979989	14.0657725524018	14.270502824669	1	6	YDR244W
148	VPS27	0.996190532602896	14.3759971524941	14.4535456223175	1	28	YNR006W
149	MF(ALPHA)2	0.997897428820978	14.2535767170095	14.4778831762988	1	1	YGL089C
150	UBP16	1.00307979523773	14.1979401173159	14.3650619237801	1	1	YPL072W
151	XRN1	1.06256727998774	14.0848520817723	13.9618491948394	1	18	YGL173C
152	PCT1	0.993311758897274	14.2433712992517	14.6973650765072	1	21	YGR202C
153	SLX1	0.993085128979243	14.2592286199583	14.4856055074839	1	1	YBR228W
154	YER130C	0.990960832089344	14.1078444159129	14.6073385376261	1	1	YER130C
155	YBP2	0.99326442480047	13.9992906135526	14.7376576909634	1	2	YGL060W
156	GRR1	1.09646853386536	14.1528504660563	14.2640155931854	1	6	YJR090C
157	YLR224W	0.996774319796812	14.178120943541	14.6439726853237	1	2	YLR224W
158	LUG1	0.993908455390318	14.3665727633997	14.5441349354078	1	9	YCR087C-A
159	REC8	0.996222088667432	14.2847561375196	14.518333746495	1	1	YPR007C
160	HAP1	0.989824813766049	14.359875986127	14.1349505807045	1	8	YLR256W
161	VPS41	0.995633998373807	14.032013941011	14.2489558703601	1	6	YDR080W
162	IML3	1.00018380913327	13.819387519792	14.5482726062879	1	5	YBR107C
163	MAF1	1.00116778460016	14.2723792420507	14.5695538532264	1	23	YDR005C
164	PRM5	0.997112830307288	14.1440342975777	14.667385507325	1	2	YIL117C
165	YOL086W-A	0.99937195765475	13.9109088669021	14.4712947505408	1	3	YOL086W-A
166	YFR032C	1.00255481707317	13.9243957448263	14.424948476145	1	39	YFR032C
167	NUP2	0.995542198913339	14.0728206989703	14.576197675196	1	1	YLR335W
168	SKI7	1.00082783972311	14.0908940956823	14.5275542163012	1	1	YOR076C
169	FKS3	0.989985462821869	13.9866606367263	14.6734073940828	1	2	YMR306W
170	TIF4632	1.00053809767601	14.1821702762877	14.4324918763255	1	1	YGL049C
171	ADR1	0.996435809286335	14.0155470693418	14.4777772656926	1	3	YDR216W
172	YPL141C	1.00149912327779	14.2392858803621	14.3762793256539	1	20	YPL141C
173	NUP53	0.993090866445522	14.0899554267353	14.5739354494714	1	1	YMR153W
174	MET18	0.992925914289993	14.1059889169102	7.07942765908435	1	19	YIL128W
175	ATG29	1.00289045885051	14.2137739391067	14.4950480172211	1	1	YPL166W
176	ESC2	1.00544506571135	13.944449938787	14.7674462073412	1	2	YDR363W
177	THR4	1.01363386445844	14.2832624670022	14.2064027160609	1	4	YCR053W
178	SFL1	1.00367218863106	14.3339458841484	14.1507714532689	1	8	YOR140W
179	NAT4	0.999350442156203	13.9152683708566	14.4772842849181	1	3	YMR069W
180	BUL2	0.989903703927389	13.9863076927341	14.5557382697384	1	3	YML111W
181	DOC1	1.00931211798358	14.0645643026937	14.2802632730812	1	6	YGL240W
182	MSI1	1.0170476568946	14.2104051337188	14.1006347272272	1	22	YBR195C
183	RSA3	0.995342821960134	13.8519483703998	14.5736454778157	1	5	YLR221C
184	CSM3	1.00114770346818	14.0301967492746	14.7530004971179	1	2	YMR048W
185	HIR3	1.00024261816263	14.2062015789947	14.1061731848163	1	22	YJR140C
186	KKQ8	1.00278431572434	14.0893794188718	14.3615756651848	1	4	YKL168C
187	PCH2	0.991920423324551	14.1923313853504	14.7263667929209	1	7	YBR186W
188	UBC8	1.00153354807546	14.0479882145904	14.4931707930983	1	3	YEL012W
189	HIR2	0.998303354560236	14.2039273555843	14.1070693602354	1	22	YOR038C
190	DSK2	0.993932839622004	14.3763273163973	14.5143400892164	1	1	YMR276W
191	BUD22	1.00397627434386	13.9716280845223	13.9642415954556	1	15	YMR014W
192	GCN4	1.00177452165919	14.0632047787155	14.4304086229768	1	3	YEL009C
193	PRK1	0.993195575205119	14.0296821151335	14.4016695731405	1	3	YIL095W
194	REX2	0.990509006619852	14.225962201994	14.6901390358031	1	35	YLR059C
195	NCA2	0.99874657383031	14.2182179853751	14.7002307030876	1	7	YPR155C
196	MET13	0.998178564668662	14.2575911013247	14.4366468817932	1	1	YGL125W
197	ARO80	1.00468485142935	14.2041445447267	14.4889411951218	1	1	YDR421W
198	RCO1	1.00328634402378	14.0571114540128	14.1063035717359	1	17	YMR075W
199	ARP8	0.995903659288933	13.91690720303	14.0166843103325	1	33	YOR141C
200	VPS4	0.988660108111358	13.9476929132731	14.6464042025329	1	2	YPR173C
201	RAD24	0.993072219680114	13.8739960419221	14.6252461180453	1	5	YER173W
202	UAF30	0.997815669926499	13.9814694138857	13.9536908512019	1	43	YOR295W
203	YGR122W	1.00501475574041	14.5409591065911	14.3021324686836	1	36	YGR122W
204	YLH47	1.00115487530103	15.0263543649732	7.12729197171128	1	13	YPR125W
205	RDI1	0.99615754217179	14.3009885720801	14.6471709374015	1	12	YDL135C
206	MEI5	0.997818538659638	14.233564411521	14.2012288691792	1	4	YPL121C
207	ATG10	0.994196763070851	14.0820085293824	14.3196911853581	1	4	YLL042C
208	YLR445W	0.993691866038275	14.0878542492576	14.676810723846	1	2	YLR445W
209	RUP1	0.995803253629046	13.9676638319169	14.4907496600931	1	3	YOR138C
210	IKI3	0.997832882325336	14.103349731136	7.08198672410552	1	19	YLR384C
211	UBC6	0.998270364129131	14.2853840095174	14.3843355027907	1	1	YER100W
212	PPZ1	0.999099428006485	13.9955696941848	14.3849584722858	1	40	YML016C
213	SPS1	1.00306832030517	14.2001032380182	14.3940162493347	1	1	YDR523C
214	OPI1	1.00280869995603	14.3798980552496	14.2395685292922	1	32	YHL020C
215	RTT109	0.999884026520174	13.9680925785294	14.7757364427805	1	2	YLL002W
216	NPR2	1.00156797287314	14.3545242735525	14.4248654852559	1	1	YEL062W
217	PCL6	1.00955022283417	14.3779676896528	14.7661035421802	1	11	YER059W
218	RRP6	1.03615485397113	14.0239754113324	14.0166076233999	1	14	YOR001W
219	PAN3	0.995560845678746	14.2640735544195	14.4693025141192	1	1	YKL025C
220	SAM3	0.999392038786727	14.3583336422393	14.1438477025342	1	8	YPL274W
221	ATG17	0.992928783023133	14.0106766889266	14.5899922420481	1	2	YLR423C
222	CDC40	0.995662685705204	14.2692474116441	13.9367504962905	1	16	YDR364C
223	IRA2	1.0123859655427	14.33707258451	14.1501430227582	1	8	YOL081W
224	PSY2	0.995654079505785	14.1603019598261	14.5839524828756	1	2	YNL201C
225	ARG81	1.00204274820775	14.2787207637081	14.5249488153899	1	1	YML099C
226	ACS1	0.995655513872354	14.2565165016999	14.5775035198728	1	23	YAL054C
227	SAF1	0.996253644731968	13.9963930198622	14.4576747707035	1	3	YBR280C
228	RPN4	0.992330652163519	14.1175519503935	14.5885998899192	1	1	YDL020C
229	GPH1	1.00080632422457	14.2155883615497	14.2488278260921	1	4	YPR160W
230	HXK1	1.00362915763397	14.0684628653833	14.4235168626234	1	3	YFR053C
231	DOA4	1.01813490675452	14.2147543362119	14.2109902691321	1	4	YDR069C
232	VPS15	1.03255029078118	14.4314631368206	14.2600517439505	1	10	YBR097W
233	CKB1	0.990850385863468	14.0568086662946	14.1239856577181	1	17	YGL019W
234	YBL028C	0.996668176670645	14.2299292988784	14.572135879336	1	1	YBL028C
235	YIL042C	1.00149195144494	14.087252291227	14.5019740330362	1	1	YIL042C
236	AIR2	1.00073460589608	14.2563366398404	14.4224464208173	1	1	YDL175C
237	MMS22	1.00983135868185	13.9695135182477	14.7940834694726	1	2	YLR320W
238	HOP1	0.995681332470611	14.3489912097507	14.5368588767651	1	9	YIL072W
239	CWC15	0.994341634094402	14.1906467137428	14.6778449657379	1	2	YDR163W
240	PMD1	0.995461874385429	14.207127469372	14.453872248972	1	1	YER132C
241	YNG1	1.00053092584316	14.242732856879	14.384981267889	1	20	YOR064C
242	CAF16	0.998390850920995	14.2634389802662	14.4674537948432	1	1	YFL028C
243	HRT3	0.994977058484831	14.0560928892695	14.4552991461619	1	3	YLR097C
244	EKI1	0.987984521456974	13.9902663964098	14.590263596605	1	2	YDR147W
245	ARX1	0.995131970074371	14.0157858103618	14.0049612654712	1	14	YDR101C
246	EUG1	0.994806368863023	14.0785223587012	14.2920224325283	1	6	YDR518W
247	MOT2	1.04955614083293	14.3126113095648	14.366533936406	1	1	YER068W
248	SUT1	0.997617727339864	14.106566605484	14.5777627112586	1	1	YGL162W
249	HAM1	0.995563714411886	14.2120492614225	14.4651556588037	1	1	YJR069C
250	CLN1	0.990506137886712	13.8724559734575	14.4566541399794	1	3	YMR199W
251	YRM1	0.991554659849248	13.9995862530805	14.5584677018987	1	3	YOR172W
252	URE2	1.01870865338245	14.2453669694938	14.2697036339915	1	4	YNL229C
253	PUB1	0.996934968852631	14.3610638604548	14.5377411203886	1	9	YNL016W
254	PAP2	1.01653415366261	14.0376809753624	14.0333909534263	1	14	YOL115W
255	SKN7	1.0028861557508	14.1590264196489	14.3990997102021	1	4	YHR206W
256	PTK1	0.997002384081412	14.1195960199208	14.3258544379523	1	4	YKL198C
257	BSP1	0.992025132084148	14.1199082028095	14.7167561087252	1	2	YPR171W
258	RAD30	0.994816409429012	14.0306706630372	14.64373252475	1	2	YDR419W
259	ATG1	0.997187417368919	14.188055741083	14.3426516118601	1	4	YGL180W
260	YOL053W	0.995058817379311	14.093852580214	14.7068651751364	1	2	YOL053W
261	SOK2	1.00515532366425	14.0665254175319	14.4342295963217	1	3	YMR016C
262	RAD23	0.996256513465108	14.1656111013015	14.3649088291715	1	4	YEL037C
263	YJL043W	1.00152924497575	13.893972540524	14.4438780111709	1	3	YJL043W
264	RSF2	0.999582809540513	14.2515741377553	14.4420098059982	1	1	YJR127C
265	GAT4	0.991524538151282	13.9169928313413	14.6179271573329	1	2	YIR013C
266	TPK1	1.00116348150045	14.2023733760098	14.384041704287	1	1	YJL164C
267	NGR1	0.996649529905237	13.8768674915172	14.6076508084289	1	5	YBR212W
268	DCC1	1.00158088217227	13.9574007166673	14.7700674121008	1	2	YCL016C
269	ZDS2	0.993224262536515	13.8250311691604	14.5785194756366	1	5	YML109W
270	YGR071C	1.00001885697774	14.0848936185881	13.9630009468243	1	18	YGR071C
271	YPK1	1.00972378118912	14.4221052314544	14.2630187302907	1	10	YKL126W
272	UBC11	1.00035449875507	14.0345617058411	14.5093895544341	1	3	YOR339C
273	AFT1	0.999198399299802	13.8913264922804	14.4484550042099	1	3	YGL071W
274	YER137C	1.00119790629813	13.891552079803	14.448700584428	1	3	YER137C
275	NCS2	1.00337384038454	14.1015133612022	7.08379647158816	1	19	YNL119W
276	ELA1	0.993993083017937	14.0477228756835	14.4573135162454	1	3	YNL230C
277	PRR2	1.00049793541206	14.1709771076707	14.3458614892818	1	4	YDL214C
